Sr.No.,Inputs Required,INPUT details,Instructions
,,,"Rule#183-Detect passwordless authentication - Based on 62 past incidents (100.0% FP, 0.0% TP)"
1,Incident,,208306 | Expected: Document investigation findings. | [100.0% FP rate]
2,Reported Time,,07-01-2025 13:05 | Expected: Typically shows: 07-01-2025 13:05 | Expected: Typically shows: 07-01-2025 13:05 | [100.0% FP rate]
3,Provide the username which are involved in the incident,,"obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com | Expected: Typically shows: obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com | Expected: Typically shows: obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com | [100.0% FP rate]"
4,VIPS Users ?,,"No | Expected: Typically shows: Clean IP, No malicious reputation, Known IP range. If found → False Positive. | Expected: Typically shows: Clean IP, No malicious reputation, Known IP range. If found → False Positive. | Query: SigninLogs | where UserPrincipalName == ""<USER_EMAIL>"" | where TimeGenerated > ago(7d) | distinct IPAddress | project IPAddress | [100.0% FP rate]"
5,Run the KQL query,,"Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive | Expected: Typically shows: Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive | Expected: Typically shows: Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive | Query: SigninLogs | where TimeGenerated > ago(7d) | where AuthenticationRequirement == ""singleFactorAuthentication"" | mv-expand todynamic(AuthenticationDetails) | extend AuthMethod = tostring(AuthenticationDetails.authenticationMethod) | where AuthMethod in (""FIDO2 security key"", ""Passwordless phone sign-in"", ""Windows Hello for Business"") | project TimeGenerated, UserPrincipalName, IPAddress, Location, AppDisplayName, AuthMethod, DeviceDetail | order by TimeGenerated desc | [100.0% FP rate]"
6,"Collect the basic info like UserName, App DisplayName, User Agent, Time",,"Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive | Expected: Typically shows: Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive | Expected: Typically shows: Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive | [100.0% FP rate]"
7,User Confirmation - If YES,,No need | Expected: Typically shows: User confirmed legitimate activity. If found → False Positive. | Expected: Typically shows: User confirmed legitimate activity. If found → False Positive. | [100.0% FP rate]
8,User Confirmation --- NO. (True Positive),,Complete User Confirmation --- NO | Expected: Typically shows: User confirmed legitimate activity. If found → False Positive. | Expected: Typically shows: User confirmed legitimate activity. If found → False Positive. | [100.0% FP rate]
9,Run The KQL to check - AD logs (Sign in logs),,"Yes, run user signin logs | Expected: Typically shows: Yes, run user signin logs | Expected: Typically shows: Yes, run user signin logs | Query: SigninLogs | where TimeGenerated > ago(7d) | where AuthenticationRequirement == ""singleFactorAuthentication"" | mv-expand todynamic(AuthenticationDetails) | extend AuthMethod = tostring(AuthenticationDetails.authenticationMethod) | where AuthMethod in (""FIDO2 security key"", ""Passwordless phone sign-in"", ""Windows Hello for Business"") | project TimeGenerated, UserPrincipalName, IPAddress, Location, AppDisplayName, AuthMethod, DeviceDetail | order by TimeGenerated desc | [100.0% FP rate]"
10,User Account Details,,iwalsh@arcutis.com | Expected: Typically shows: iwalsh@arcutis.com | Expected: Typically shows: iwalsh@arcutis.com | [100.0% FP rate]
11,Inform to IT Team,,no need | Expected: Document investigation findings. | [100.0% FP rate]
12,Track for the closer/closer confirmation,,Complete Track for the closer/closer confirmation | Expected: Document investigation findings. | [100.0% FP rate]
13,Final Classification,,"Classify as True Positive, False Positive, or Benign Positive based on all investigation findings. [HISTORICAL BASELINE] 100.0% FP, 0.0% TP from 62 past incidents"
14,Confidence Level,,"Assess confidence: High (strong evidence from multiple sources), Medium (moderate evidence with some gaps), Low (limited or conflicting evidence)"
15,Detailed Justification,,Provide comprehensive reasoning for classification. Reference specific findings from investigation steps above with step numbers and exact evidence
16,Actions Taken,,"Document all investigative actions: KQL queries executed, logs reviewed, threat intelligence checks performed, users/teams contacted, timeline of activities"
17,Escalation Required?,,"Yes/No - If yes, specify escalation path: L3 SOC (confirmed threats), IT Team (system issues), Security Manager (VIP/critical assets), Incident Response Team (active compromise)"

,HISTORICAL REFERENCE DATA,,Statistical analysis from past incidents - use to inform investigation approach
,Total Past Incidents,62,Complete dataset of 62 historical incidents for pattern analysis
,False Positive Rate,100.0%,"62 of 62 incidents were False Positives. If similar patterns found, likelihood of FP is 100.0%"
,True Positive Rate,0.0%,"0 of 62 incidents were True Positives. If threat indicators found, likelihood of TP is 0.0%"
,Common FP Justifications,,"IP Clean , Legitimate user, IP Clean"
