Sr.No.,Inputs Required,INPUT details,Instructions
,,,"Rule#280- Detect when One or more Sophos services are missing or not running. - Based on 92 past incidents (62.0% FP, 30.4% TP)"
1,Verify if the user has a VIP status by checking their username in the status field of the users table.,,"json { ""user_id"": ""smith"", ""username"": ""smith@company.com"" } | Expected: Based on 92 past incidents (62.0% FP rate): Typically find 'Clean IP', 'No malicious reputation', 'Known IP range'. If found, indicates False Positive. | Expected: Based on 92 past incidents (62.0% FP rate): Typically find 'Clean IP', 'No malicious reputation', 'Known IP range'. If found, indicates False Positive."
2,"If no VIP status, proceed to Step B: Check for missing services or anomalies in the status field.",,"sql SELECT status FROM users WHERE username = 'smith@company.com' AND user_id = current_user.id LIMIT 1; Step B: Check Service Status | Expected: Based on 92 past incidents (62.0% FP rate): Typically find 'Clean IP', 'No malicious reputation', 'Known IP range'. If found, indicates False Positive. | Expected: Based on 92 past incidents (62.0% FP rate): Typically find 'Clean IP', 'No malicious reputation', 'Known IP range'. If found, indicates False Positive. | Query: SELECT status FROM users WHERE username = 'smith@company.com' AND user_id = current_user.id LIMIT 1;"
3,"Use Serper's Search API to search for any service that has an is_installed of False (indicating it is missing or not running) and a status related to ""Missing service"".",,"json https://google.serper.dev/search?q=missing+service&limit=50&country=US&location=global&locale=en Step C: Check for Known Issues | Expected: Based on 92 historical incidents: 62.0% were False Positive, 30.4% were True Positive. Investigate thoroughly."
4,Use Serper's Search API to search for any known issues that might cause a missing service or an uninstalled service.,,"json https://google.serper.dev/search?q=known+issues&limit=50&country=US&location=global&locale=en Step D: Check for Security Alerts and Trends | Expected: Based on 92 historical incidents: 62.0% were False Positive, 30.4% were True Positive. Investigate thoroughly."
5,"Review security alerts, trends, and any security logs (e.g., status changes) related to missing services or running services.",,"json { ""alert_ids"": [""890001234567890""], ""timestamp"": ""2023-04-01T00:00:00Z"", ""service_name"": ""Missing service"" } Step E: Compare with Known Apps | Expected: Based on 92 historical incidents: 62.0% were False Positive, 30.4% were True Positive. Investigate thoroughly."
6,"Compare the user's known apps (e.g., apps table) to any known services installed and running.",,"json SELECT DISTINCT application_id FROM users WHERE username = 'smith@company.com' AND current_user.id IS NOT NULL LIMIT 10; Step F: Perform a full data search | Expected: Expected result (62.0% FP rate): 'Known applications', 'Approved apps', 'Whitelisted applications'. Indicates normal activity."
7,Use Serper's Search API to perform an extensive data search across all organizations for any known services that might be missing or running.,,"json https://google.serper.dev/search?q=known+services&limit=50&country=US&location=global&locale=en Step G: Verify the Security Configuration | Expected: Based on 92 historical incidents: 62.0% were False Positive, 30.4% were True Positive. Investigate thoroughly."
8,"Check if there are any security configurations (e.g., security_config object) that might be affecting services.",,"json { ""configurations"": { ""name"": ""Security Config"", ""value"": { ""enabled"": true, ""services"": [ ""Missing service"", ""Service A"" ] } }, ""timestamp"": ""2023-04-01T00:00:00Z"" } Step H: Update the User with Details | Expected: Based on 92 historical incidents: 62.0% were False Positive, 30.4% were True Positive. Investigate thoroughly."
9,Final Classification,,"Classify as True Positive, False Positive, or Benign Positive based on all investigation findings. [HISTORICAL BASELINE] 62.0% FP, 30.4% TP from 92 past incidents"
10,Confidence Level,,"Assess confidence: High (strong evidence from multiple sources), Medium (moderate evidence with some gaps), Low (limited or conflicting evidence)"
11,Detailed Justification,,Provide comprehensive reasoning for classification. Reference specific findings from investigation steps above with step numbers and exact evidence
12,Actions Taken,,"Document all investigative actions: KQL queries executed, logs reviewed, threat intelligence checks performed, users/teams contacted, timeline of activities"
13,Escalation Required?,,"Yes/No - If yes, specify escalation path: L3 SOC (confirmed threats), IT Team (system issues), Security Manager (VIP/critical assets), Incident Response Team (active compromise)"

,HISTORICAL REFERENCE DATA,,Statistical analysis from past incidents - use to inform investigation approach
,Total Past Incidents,92,Complete dataset of 92 historical incidents for pattern analysis
,False Positive Rate,62.0%,"57 of 92 incidents were False Positives. If similar patterns found, likelihood of FP is 62.0%"
,True Positive Rate,30.4%,"28 of 92 incidents were True Positives. If threat indicators found, likelihood of TP is 30.4%"
,Common FP Justifications,,"BAS Testing, All services were running, Clean status, Legitimate Asset, INC0095055, all services running, Device is clean, All services are running, Legitimate activity, Legitimate user, Device is clean , device is clean , IP Clean"
