S.NO.,Date,Month,SHIFT ,Incidnet No #,Data connecter,Priority,Alert/Incident,Name of the Shift Engineer,Handover Shift Engineer,Reported time Stamp,Responded Time stamp,MTTD (Mins),Resolution Time Stamp,MTTR    (Mins),Time To Breach SLA,Remaining Mins to Breach,Resolver Comments,VIP Users ,RULE,Service owner,Status,Remarks / Comments,False / True Positive,WHy False Positive,Justification,Quality Audit,Description,
1,1-Jul-25,July,Morning,208303,AD,High,Alert ,Sarvesh,"Aman,Dhroovi,Saranya& Uday",7/1/2025 10:58,7/1/2025 11:00,2.00,7/1/2025 11:15,17.00,7/1/2025 11:58,Resolved,"Triaging Steps performed : Check ip reputation - clean. Check history - user using clean IP Sign in logs / -- User using known apps with MFA Satisfied Closure comments = Observed the events, Checked sign in logs for the user chorton@arcutis.com , IPs are clean, detected user using known apps and device, MFA satisfied, US location, nothing suspicious found Closing as False positive (yes/ No) No",No,Rule#286- Atypical travel,Sentinel,Closed,Rule#286 -01-Jul'25 (208303).xlsx,False Positive,Legitimate user,Takes time in investigation,Pass,,
2,1-Jul-25,July,Morning,208304,AD,High,Alert ,Sarvesh,"Aman,Dhroovi,Saranya& Uday",7/1/2025 11:46,7/1/2025 11:50,4.00,7/1/2025 11:52,6.00,7/1/2025 12:46,Resolved,"Triaging Steps performed : Check ip reputation - clean. Check history - user using clean IP Sign in logs / -- User using known apps with MFA Satisfied Closure comments = Observed the events, Checked sign in logs for the user chorton@arcutis.com , IPs are clean, detected user using known apps and device, MFA satisfied, US location, nothing suspicious found Closing as False positive (yes/ No) No",No,Rule#286- Atypical travel,Sentinel,Closed,Rule#286 -01-Jul'25 (208304).xlsx,False Positive,Legitimate user,,Pass,,
3,1-Jul-25,July,Morning,208305,AD,Medium,Alert ,Sarvesh,"Aman,Dhroovi,Saranya& Uday",7/1/2025 12:30,7/1/2025 12:48,18.00,7/1/2025 12:59,29.00,7/1/2025 16:30,Resolved,"Triaging Steps performed : Check history -- no suspicious activities Sign in logs / -- no suspicious closure comments :Observed the events detected countries US only no successfull attempt , guest sigin policy with clean IP, nothing suspicious. Escalating (yes/ No) No",No,Rule#019-Signin Logs with expanded Conditional access policies,Sentinel,Closed,Rule#286 -01-Jul'25 (208304).xlsx,False Positive,Legitimate user,Workspace not working,Pass,,
4,1-Jul-25,July,Morning,208306,AD,Medium,Alert ,Sarvesh,"Aman,Dhroovi,Saranya& Uday",7/1/2025 13:05,7/1/2025 13:12,7.00,7/1/2025 13:19,14.00,7/1/2025 17:05,Resolved,"Triaging steps: IP : Clean, Closure comments :Observed events, checked sign in logs of users(obarkhordarian@arcutis.com,jfennewald@arcutis.com,nkolla@arcutis.com), clean IP, using registered devices and known apps nothing suspicious found , closing as a false positive",No,Rule#183-Detect passwordless authentication,Sentinel,Closed,Rule#183 01-Jul'25 (208306).xlsx,False Positive,Legitimate user,Workspace not working,Pass,,
5,1-Jul-25,July,Morning,208307,AD,Low,Alert ,Sarvesh,"Aman,Dhroovi,Saranya& Uday",7/1/2025 13:11,7/1/2025 13:12,1.00,7/1/2025 13:23,12.00,7/1/2025 21:11,Resolved,"Triaging steps: IP : Clean, Closure comments : Observed the events , checked the logs for the users , all failed attemps were seen , known clean Ips were seen. location US,IN,MX & MA, guest MFA enabled for users nothing supicious found.",Yes,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 -01-Jul'25 (208307).xlsx,False Positive,Legitimate user,Workspace not working,Pass,,
6,1-Jul-25,July,Afternoon,208308,sophos,High,Incident ,Uday,"Harish,Venkat",7/1/2025 16:40,7/1/2025 16:49,9.00,7/1/2025 17:24,44.00,7/1/2025 17:40,Resolved,Triaging Steps performed: Check ip reputation - clean. Check hostname .. ARQ-00463 Check history – for 90 day s/ 30 days.. etc – NA Check signin logs -- NA Escalating (Yes/ No) Yes Closure comments for TP / FP / Benign Positive: TP (As checked All sophos services are not running) INC0095255,No,Rule#280- Detect when One or more Sophos services are missing or not running.,Sentinel,Closed,Rule 280-July-01-25 ( 208308 ).xlsx,True Positive,,Took time for raising the ticket,Pass,INC0095255,
7,1-Jul-25,July,Afternoon,208309,AD,High,Alert ,Saranya,"Harish,Venkat",7/1/2025 17:28,7/1/2025 17:29,1.00,7/1/2025 17:32,4.00,7/1/2025 18:28,Resolved,"Observed the Events and checked user(Adminchintala) was accessed into MS-PIM, nothing Suspicious activities found, closing as FP.",No,Rule#014-New User Assigned to Privileged Role,Sentinel,Closed,Rule#014-July-01-25 ( 208309 ).xlsx,False Positive,Legitimate user,,Pass,,
8,1-Jul-25,July,Afternoon,208310,AD,Medium,Alert ,Uday,"Harish,Venkat",7/1/2025 18:27,7/1/2025 18:29,2.00,7/1/2025 18:33,6.00,7/1/2025 22:27,Resolved,"Observed the Events and checked user(Jgreenwood) was added into MS-PIM, nothing Suspicious activities found, closing as FP",No,Rule#016-User added to Microsoft Entra ID Privileged Groups,Sentinel,Closed,Rule#016-July-01-25 ( 208310 ).xlsx,False Positive,Legitimate user,,Pass,,
9,1-Jul-25,July,Afternoon,208311,sophos,High,Incident ,Uday,"Harish,Venkat",7/1/2025 19:09,7/1/2025 19:18,9.00,7/1/2025 19:31,22.00,7/1/2025 20:09,Resolved,Triaging Steps performed: Check ip reputation - clean. Check hostname .. ARQ-00374 Check history – for 90 day s/ 30 days.. etc – NA Check signin logs -- NA Escalating (Yes/ No) Yes Closure comments for TP / FP / Benign Positive: TP (As checked All sophos services are not running) INC0095259,No,Rule#280- Detect when One or more Sophos services are missing or not running.,Sentinel,Closed,Rule 280-July-01-25 ( 208311 ).xlsx,True Positive,,Took time for raising the ticket,Pass,INC0095259,
10,1-Jul-25,July,Afternoon,208312,sophos,High,Incident ,Uday,"Harish,Venkat",7/1/2025 19:54,7/1/2025 19:57,3.00,7/1/2025 20:22,28.00,7/1/2025 20:54,Resolved,Triaging Steps performed: Check ip reputation - clean. Check hostname .. ARQ-00450 Check history – for 90 day s/ 30 days.. etc – NA Check signin logs -- NA Escalating (Yes/ No) Yes Closure comments for TP / FP / Benign Positive: TP (As checked All sophos services are not running) INC0095260,No,Rule#280- Detect when One or more Sophos services are missing or not running.,Sentinel,Closed,Rule 280-July-01-25 ( 208312 ).xlsx,True Positive,,Took time for raising the ticket,Pass,INC0095260,
