S.NO.,Date,Month,SHIFT ,Incidnet No #,Data connecter,Priority,Alert/Incident,Name of the Shift Engineer,Handover Shift Engineer,Reported time Stamp,Responded Time stamp,MTTD (Mins),Resolution Time Stamp,MTTR    (Mins),Time To Breach SLA,Remaining Mins to Breach,Resolver Comments,VIP Users ,RULE,Service owner,Status,Remarks / Comments,False / True Positive,WHy False Positive,Justification,Quality Audit,Description,
1,1-Jun-25,June,Afternoon,207742,AD,Medium,Incident,Sarvesh,Aman & Uday,6/1/2025 20:55,6/1/2025 20:57,2.00,6/1/2025 21:05,10.00,6/2/2025 0:55,Resolved,"Triaging Steps performed : Check ip reputation - Clean Closure comments - By observing the events, the user account marketing@arcutis.com, sign in from CN location and triggered ips are not malicious, but by checking the sign-in logs of this account no successful attempt found, Escalating (Yes/ No) No. Closure comments for TP",No,Rule#184-P1- Sign-in attempts from block listed countries.,Sentinel,Closed,No Template,True Positive,,,Pass,,
2,1-Jun-25,June,Afternoon,207743,AD,Medium,Alert,Sarvesh,Aman & Uday,6/1/2025 21:00,6/1/2025 21:01,1.00,6/1/2025 21:07,7.00,6/2/2025 1:00,Resolved,"Triaging Steps performed : Check history -- no suspicious activities Sign in logs / -- no suspicious closure comments : Observed the events detected countries US, CA, IN and found some users are from some other location but there is no successfull attempt and clean IP, nothing suspicious. Escalating (yes/ No) No",Yes,Rule#019-Signin Logs with expanded Conditional access policies,Sentinel,Closed,Rule 019-June-1-25 (207743).xlsx,False Positive,Legitimate user,,Pass,,
3,1-Jun-25,June,Afternoon,207744,AD,Medium,Alert,Sarvesh,Aman & Uday,6/1/2025 21:00,6/1/2025 21:01,1.00,6/1/2025 21:08,8.00,6/2/2025 1:00,Resolved,"Observed the events, All detected users used Nord VPN. No suspicious activity found.",No,Rule#008-Signins From VPS Providers,Sentinel,Closed,Rule 008-June-1-25 (207744).xlsx,False Positive,Nord VPN,,Pass,,
4,1-Jun-25,June,Afternoon,207745,AD,Low,Alert,Sarvesh,Aman & Uday,6/1/2025 21:00,6/1/2025 21:01,1.00,6/1/2025 21:09,9.00,6/2/2025 5:00,Resolved,"Triaging Steps performed : Check ip reputation - clean. Check history -- no suspicious activities Sign in logs / -- no suspicious closure comments :Observed the events, Detected users are within US and CA locations only and no successful attempt found Non-Interactive signin logs detected, reason being ""Access has been blocked due to conditional access policies' No suspicious activity found Escalating (yes/ No) No",No,Rule#002-Attempt to bypass conditional access rule in Azure AD,Sentinel,Closed,Rule 002-June-1-25 (207745).xlsx,False Positive,Legitimate user,,Pass,,
5,1-Jun-25,June,Afternoon,207746,AD,Medium,Alert,Sarvesh,Aman & Uday,6/1/2025 21:00,6/1/2025 21:01,1.00,6/1/2025 21:10,10.00,6/2/2025 1:00,Resolved,"Observed the events,Detected users(SOC Team members and admins only) with location IN and US, Nothing suspicious, Closing as False positive",No,Rule#256-Detect interactive logins from service accounts and review,Sentinel,Closed,Rule 256-June-1-25 (207746).xlsx,False Positive,Legitimate user,,Pass,,
6,1-Jun-25,June,Night,207747,AD,Low,Alert,Aman,"Saranya , harish , dhroovi",6/1/2025 22:35,6/1/2025 22:36,1.00,6/1/2025 22:39,4.00,6/2/2025 6:35,Resolved,"checked the SIGN IN logs for the users rsouders@arcutis.com and msavell@arcutis.com as the count was 2 , clean ip , known locations , and MFA was satisfied , no malicious activtiy was seen",No,Rule#017-Tracking Password Changes,Sentinel,Closed,Rule 017-June-1-25 ( 207747),False Positive,Threshold,,Pass,,
7,1-Jun-25,June,Night,207748,AD,Medium,Alert,Aman,"Saranya , harish , dhroovi",6/1/2025 22:35,6/1/2025 22:36,1.00,6/1/2025 22:43,8.00,6/2/2025 2:35,Resolved,"Triaging steps: Checked events and Sign in logs for the user,found user dignin attempt from BE,the location is unfamiliar to the user and there is only one attempt found that also successful attempt only, and IP reputation was clean, Nothing suspicious Escalating (Yes/ No) No.",No,Rule#021-Authentication Attempt from New Country,Sentinel,Closed,Rule 021-June-1-25 ( 207748),False Positive,Legitimate user,,Pass,,
8,1-Jun-25,June,Night,207749,Firewall,Low,Alert,Aman,"Saranya , harish , dhroovi",6/1/2025 22:35,6/1/2025 22:36,1.00,6/1/2025 22:45,10.00,6/2/2025 6:35,Resolved,"Observed the events , clean Ip was seen , also send bites are not 0 , no malicious activity was detected",No,Rule#007-Fortinet - Beacon pattern detected,Sentinel,Closed,Rule 007-June-1-25 ( 207749),False Positive,IP Clean,,Pass,,
9,1-Jun-25,June,Night,207750,O365,Medium,Alert,Aman,"Saranya , harish , dhroovi",6/1/2025 23:30,6/1/2025 23:32,2.00,6/1/2025 23:38,8.00,6/2/2025 3:30,Resolved,"observe the events , checked the mails of 3 users and IPs are clean , no malicous mail was sent, closing as False positive",No,"Rule#267-Detect outbound emails to public domains(Gmail, Yahoo etc)and review",Sentinel,Closed,Rule 267-1-June'25 (207750),False Positive,Legitimate user,,Pass,,
10,1-Jun-25,June,Night,207751,AD,Low,Alert,Aman,"Saranya , harish , dhroovi",6/1/2025 23:30,6/1/2025 23:32,2.00,6/1/2025 23:43,13.00,6/2/2025 7:30,Resolved,"Observed the events, checked the sign in logs for the users, clean ip was detected, failed attempts were there but device is registered, the location was known, Nothing suspicious found.",No,Rule#009-Brute force attack against a Cloud PC,Sentinel,Closed,Rule 009-1 June'25 (207751),False Positive,IP Clean,,Pass,,
