S.NO.,Date,SHIFT ,Incidnet No #,Data connecter,Priority,Alert/Incident,Name of the Shift Engineer,Handover Shift Engineer,Reported time Stamp,Responded Time stamp,MTTD (Mins),Resolution Time Stamp,MTTR    (Mins),Time To Breach SLA,Remaining Mins to Breach,Resolver Comments,VIP Users ,RULE,Service owner,Status,Remarks / Comments,False / True Positive,WHy False Positive,Justification,Quality Audit,Description,,,,,,,,,,,,,,,,,,,,
1,1-Sep-25,Morning ,211140,Sophos,High,Alert,Venkat,"Umika, Ashiesh",8/31/2025 23:13,8/31/2025 23:16,3.00,8/31/2025 23:28,15.00,9/1/2025 0:13,Resolved,"It is related API token Expire information, but we didn't get, any details",No,Rule#279- Detect when Alert Triggered in Sophos.,Sophos,Closed,Rule#279 1st Sep'25(211140).xlsx,BenignPositive,Cymulate activity,,Pass,,,,,,,,,,,,,,,,,,,,,
2,1-Sep-25,Morning ,211141,AD,Low,Alert,Venkat,"Umika, Ashiesh",8/31/2025 13:27,8/31/2025 13:31,4.00,8/31/2025 13:47,20.00,8/31/2025 21:27,Resolved,"Triaging Steps performed: Check ip reputation(2401:4900:1cb4:b1c:787a:d04e:e986:c286, 2401:4900:1cb4:b1c:89ca:83ee:d317:8eb1, 2401:4900:1c26:285:1c55:4191:230f:661d) is clean check history -- no suspicious activities, closure comments: checked signin logs for the user leila.dosouto@the-considered.com, location is US, IN and there are Non-Interactive signin logs reason being failed ""[Due to a configuration change made by your administrator) user is using known apps and device ,nothing suspicious . closing as FP",No,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 1st Sep'2025 (211141).xlsx,False Postive,Legitimate user,getting issue with AVD,Pass,Provide justification for increased MTTR,,,,,,,,,,,,,,,,,,,,
3,1-Sep-25,Afternoon,211142,Sophos,High,Alert,Ashiesh,Aman Uday,9/1/2025 15:12,9/1/2025 15:13,1.00,9/1/2025 15:31,19.00,9/1/2025 16:12,Resolved,"cymulate activity, the device is PERS-AVD-10, took confrimation from yasaswini.",No,Rule#279- Detect when Alert Triggered in Sophos,Sophos,Closed,Rule#279-Sep-1st-25 ( 211142 ),BenignPositive,Cymulate activity,was waiting for confrimation.,Pass,,,,,,,,,,,,,,,,,,,,,
4,1-Sep-25,Afternoon,211143,Firewall,Low,Alert,Ashiesh,Aman Uday,9/1/2025 15:53,9/1/2025 15:54,1.00,9/1/2025 16:00,7.00,9/1/2025 23:53,Resolved,"Checked the events the ip is clean 192.168.8.28, nothing suspcious was found closing as FP",No,Rule#007-Fortinet - Beacon pattern detected,Sentinel,Closed,Rule 007- 1st SEP'25 (211143),False Postive,False Postive,,Pass,,,,,,,,,,,,,,,,,,,,,
5,1-Sep-25,Afternoon,211144,Sophos,High,Alert,Ashiesh,Aman Uday,9/1/2025 20:42,9/1/2025 20:43,1.00,9/1/2025 20:45,3.00,9/1/2025 21:42,Resolved,Cymulate Activity detected on ARQ-MBP-044 ,No,Rule#279- Detect when Alert Triggered in Sophos.,Sophos,Closed,Rule#279-Sep-1st-25 ( 211144 ),BenignPositive,Cymulate activity,,Pass,,,,,,,,,,,,,,,,,,,,,
6,1-Sep-25,Afternoon,211145,Sophos,High,Incident,Ashiesh,Aman Uday,9/1/2025 21:57,9/1/2025 21:58,1.00,9/1/2025 23:30,93.00,9/1/2025 22:57,Resolved,"Checked the device ARQ-MBP-148\rpatel, some of thr services are not running and A macOS device doesn't meet Sophos prerequisites and might not be protected , after 30 mins we have checked the satuts and still the services are not running, so we have a raised a service now ticket with INC0096028, closing as TP",No,Rule#279- Detect when Alert Triggered in Sophos.,Sophos,Closed,Rule#279-Sep-1st-25 ( 211144 ),True Positive,,"was in shift handover call, waited for 40 mins no change in status for the pc in sophos, raised a service now ticket, so took time.",Pass,INC0096028,,,,,,,,,,,,,,,,,,,,
7,1-Sep-25,Night,211146,Box,Medium,Alert,Uday,"Venkat,Sarvesh",9/1/2025 23:00,9/1/2025 23:04,4.00,9/1/2025 23:09,9.00,9/2/2025 3:00,Resolved,"Triaging steps: observed the events , checked the BOX logs events , user Murali Pinnaka downloaded business related files from Box, downloaded size (2275945406) related to SAP S4HANA Implementation project and No malicious activity detected, so closing it as a false positive Escalating (Yes/ No) No",No,Rule#290- Detect High Volume of downloads/deletions in 24 hours time from BOX,Sentinel,Closed,Rule#290 - 1st Sept'25(211146).xlsx,False Postive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
8,1-Sep-25,Night,211147,AD,Medium,Incident,Uday,"Venkat,Sarvesh",9/1/2025 23:30,9/1/2025 23:32,2.00,9/1/2025 23:37,7.00,9/2/2025 3:30,Resolved,"Triaging steps: By checked the events there is 1 user (tpollard@arcutis.com ) triggerd in this alert and by checking the audit logs of the users there were found users accounts was disabled and by checking the signin logs of the users, we could see no successful attempt found after disabling the account.and ip (2600:4040:12d5:400:18ac:4f26:3c93:1838 ) clean Escalating (Yes/No) No.",No,Rule#283- Attempts to sign in to disabled accounts by IP address,Sentinel,Closed,Rule#283 - 1st Sept'2025 (211147).xlsx,True Positive,,,Pass,,,,,,,,,,,,,,,,,,,,,
9,1-Sep-25,Night,211148,AD,Medium,Alert,Uday,"Venkat,Sarvesh",9/2/2025 0:00,9/2/2025 0:04,4.00,9/2/2025 0:10,10.00,9/2/2025 4:00,Resolved,"Triaging Steps performed :Check IP Reputation - clean IPs, Check history -- no suspicious activities Sign in logs / -- no suspicious closure comments :Observed the events, triggered 4 users( adminrketineni@arcutis.com,mkarunakar@arcutis.com,cthompson@arcutis.com,sleonard@arcutis.com) and IPs(4.150.190.99,97.98.4.83,71.181.104.16,2409:4091:8025:e06:7de1:f37f:f9a6:fef3 ) are clean, observed signin failed due to Authentication failed during strong authentication request.cheked sign in logs user using clean ip's location US,CA,IN and known apps and nothing suspicious . Escalating (yes/ No) No",No,Rule#019-Signin Logs with expanded Conditional access policies,Sentinel,Closed,Rule 019- 1st Sept'25 ( 211148).xlsx,False Postive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
10,1-Sep-25,Night,211149,AD,Low,Alert,Uday,"Venkat,Sarvesh",9/2/2025 1:26,9/2/2025 1:30,4.00,9/2/2025 1:35,9.00,9/2/2025 9:26,Resolved,"Triaging Steps performed: Check ip reputation(2401:4900:1c18:7e6f:1d69:dd19:c58b:905 ) is clean check history -- no suspicious activities, closure comments: checked signin logs for the user adminssharma@arcutis.com , location is IN and there are Non-Interactive signin logs reason being failed ""[Due to a configuration change made by your administrator) user is using known apps and device ,nothing suspicious . closing as FP",No,Rule#002-Attempt to bypass conditional access rule in Microsoft Entra ID,Sentinel,Closed,Rule#002 1st Sept'25 (211149).xlsx,False Postive,Legitimate user,,Pass,,,,,,,,,,,,,,,,,,,,,
